File path; File name; Scanner type; Date and time; Duration; Scan mode; Type; Frequency; Code; Favorite name; System name; Department name; Channel name; Site; TGID; UID; UID Name; Latitude; Longitude
Z:\go\src\github.com\Bearcatter\bearcatter\wavparse\fixtures\2020-06-20_23-23-14.wav;2020-06-20_23-23-14.wav;BCDx36HP;6/20/2020 11:23:19 PM;00:00:05;Normal scan mode;Edacs;852.8125;;Transit;Bay Area Rapid Transit (BART);Train Operations;W Line (Daly City-Millbrae);Simulcast;02-022;16103;;37.725840;-122.115887
Z:\go\src\github.com\Bearcatter\bearcatter\wavparse\fixtures\2020-06-22_18-50-00.wav;2020-06-22_18-50-00.wav;BCDx36HP;6/22/2020 6:50:02 PM;00:00:02;Normal scan mode;P25Standard;772.9937;;180683-Alameda CA;East Bay Regional Communications System (EBRCS);Oakland;Police Service 1;ALCO Northwest Simulcast;3410;;;;
Z:\go\src\github.com\Bearcatter\bearcatter\wavparse\fixtures\2020-06-20_23-02-31.wav;2020-06-20_23-02-31.wav;BCDx36HP;6/20/2020 11:02:32 PM;00:00:01;Normal scan mode;Edacs;851.5625;;Transit;Bay Area Rapid Transit (BART);Maintenance;Power & Way 1 (3rd Rail Power Distribution);Simulcast;02-141;7197;;37.725840;-122.115887
Z:\go\src\github.com\Bearcatter\bearcatter\wavparse\fixtures\2020-06-21_17-58-10.wav;2020-06-21_17-58-10.wav;BCDx36HP;6/21/2020 5:58:11 PM;00:00:01;Normal scan mode;P25Standard;851.9875;;HoCo;Howard County (Project 25);Police;District 1 Dispatch (Fire A9/B9/C9/D9);Site 2;10961;109;;;
Z:\go\src\github.com\Bearcatter\bearcatter\wavparse\fixtures\2020-06-21_18-20-48.wav;2020-06-21_18-20-48.wav;BCDx36HP;6/21/2020 6:20:49 PM;00:00:00;Normal scan mode;P25Standard;853.0625;;HoCo;Howard County (Project 25);Police;District 2 Dispatch (Fire A10/B10/C10/D10);Site 2;10963;106;;;
Z:\go\src\github.com\Bearcatter\bearcatter\wavparse\fixtures\2020-06-21_21-06-11.wav;2020-06-21_21-06-11.wav;BCDx36HP;6/21/2020 9:06:12 PM;00:00:00;Normal scan mode;Edacs;851.0375;;Transit;Bay Area Rapid Transit (BART);Maintenance;Tango 1 (Troubleshooting Techs);Simulcast;02-121;;;37.725840;-122.115887
Z:\go\src\github.com\Bearcatter\bearcatter\wavparse\fixtures\2020-06-21_18-05-35.wav;2020-06-21_18-05-35.wav;BCDx36HP;6/21/2020 6:05:37 PM;00:00:01;Normal scan mode;P25Standard;852.6375;;HoCo;Howard County (Project 25);Police;District 2 Dispatch (Fire A10/B10/C10/D10);Site 2;10963;106;;;
Z:\go\src\github.com\Bearcatter\bearcatter\wavparse\fixtures\2020-06-21_18-11-54.wav;2020-06-21_18-11-54.wav;BCDx36HP;6/21/2020 6:11:56 PM;00:00:01;Normal scan mode;P25Standard;852.1125;;HoCo;Howard County (Project 25);Police;District 2 Dispatch (Fire A10/B10/C10/D10);Site 2;10963;2468327;;;
Z:\go\src\github.com\Bearcatter\bearcatter\wavparse\fixtures\2020-06-21_17-32-20.wav;2020-06-21_17-32-20.wav;BCDx36HP;6/21/2020 5:32:25 PM;00:00:04;Normal scan mode;P25Standard;851.9875;;HoCo;Howard County (Project 25);Police;District 2 Dispatch (Fire A10/B10/C10/D10);Site 2;10963;108;;;
Z:\go\src\github.com\Bearcatter\bearcatter\wavparse\fixtures\2020-06-21_17-26-41.wav;2020-06-21_17-26-41.wav;BCDx36HP;6/21/2020 5:26:45 PM;00:00:03;Normal scan mode;P25Standard;857.7375;;HoCo;Howard County (Project 25);Police;District 2 Dispatch (Fire A10/B10/C10/D10);Site 2;10963;106;;;
Z:\go\src\github.com\Bearcatter\bearcatter\wavparse\fixtures\2020-06-20_23-06-55.wav;2020-06-20_23-06-55.wav;BCDx36HP;6/20/2020 11:06:57 PM;00:00:01;Normal scan mode;Edacs;851.5625;;Transit;Bay Area Rapid Transit (BART);Train Yards & Shops;Tower - Daly City Yard;Simulcast;02-062;14941;;37.725840;-122.115887
